District,Cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous Chicken,Chicken Commercial,Bee Hives,Totals,County,Lat,Long
MUMIAS,73060,15498,8443,4,1202,3579,338298,20479,1415,461978,Kakamega,0.35427418,34.48762031
MURANGA NORTH,102573,21865,86808,0,930,3843,246041,89409,6019,557488,Murang'a,-0.675384535,36.98118146
MURANGA SOUTH,112181,25974,82937,4,2066,14336,365272,280819,25643,909232,Murang'a,-0.845673319,37.05522802
MUTOMO,63773,10254,224621,396,26750,294,117422,3750,88495,535755,Kitui,-2.179047638,38.53912323
MWALA,52251,10735,133335,7,6587,206,154782,9466,9345,376714,Machakos,-1.399783931,37.52391049
MWINGI,84332,10262,276392,513,35361,171,144292,5249,110271,666843,Kitui,-0.907180566,38.36852014
NAIROBI EAST,13263,11529,16714,3,3068,8477,111809,129718,2789,297370,Nairobi,-1.274861358,36.967484
NAIROBI NORTH,12838,5371,14204,17,6894,12981,77544,110746,1243,241838,Nairobi,-1.225618057,36.8911257
NAIROBI WEST,18292,14352,12253,0,2211,7005,75353,71847,2946,204259,Nairobi,-1.341174727,36.79920201
NAIVASHA,139501,240746,115363,67,19375,6390,222316,84814,6487,835059,Nakuru,-0.727134387,36.33344468
NAKURU,83787,70632,62188,2,3938,3803,244309,151941,3610,624210,Nakuru,-0.134672183,36.03461164
NAKURU NORTH,34463,43751,11762,0,2273,1912,196487,151864,1446,443958,Nakuru,-0.135028953,36.16401596
NANDI CENTRAL,85198,34680,5220,13,675,476,171878,15077,6652,319869,Nandi,0.237462739,35.08490348
NANDI EAST,35420,10971,5294,6,963,181,72246,5060,2130,132271,Nandi,0.105368029,35.23779105
NANDI NORTH,86242,43588,7166,6,1278,244,147802,11820,4586,302732,Nandi,0.438611778,35.06077368
NANDI SOUTH,68155,22280,14340,11,2040,268,146613,7013,5652,266372,Nandi,0.048811478,34.96800793
NAROK NORTH,255881,529492,219394,116,38796,3959,113328,17324,19402,1197692,Narok,-0.959555087,35.99464674
NAROK SOUTH,701899,935757,510328,449,38934,2275,172644,8731,22730,2393747,Narok,-1.402738483,35.5807782
NYAMIRA,76127,6309,27671,0,1376,379,215897,29564,1509,358832,Nyamira,-0.549513229,34.96346861
NYANDARUA NORTH,121973,148810,17943,4,7366,1528,337630,36959,6483,678696,Nyandarua,-0.144560572,36.42343108
NYANDARUA SOUTH,110110,116856,5697,1,3863,597,239240,16385,5804,498553,Nyandarua,-0.533045224,36.55651343
NYANDO,143085,97179,100744,6,14174,1172,391119,33369,11143,791991,Kisumu,-0.198538171,35.02991504
NYERI NORTH,128193,136947,46557,78,2219,5773,283681,67995,9256,680699,Nyeri,-0.266587082,36.9811441
NYERI SOUTH,94053,31862,56369,10,1064,7811,229956,84385,6743,512253,Nyeri,-0.500808092,36.89927916
NZAUI,70595,33734,169009,12,6195,351,187146,8684,13900,489626,Makueni,-1.928374635,37.41612392
POKOT CENTRAL,179212,146300,213141,1050,6559,155,138190,4950,28432,717989,West Pokot,1.491213025,35.49402215
POKOT NORTH,377688,199977,377903,29273,21671,93,121380,8705,69469,1206159,West Pokot,2.039330692,35.10600361
RACHUONYO,132046,52918,105275,6,5879,965,433562,23805,1482,755938,Homa Bay,-0.43493606,34.70386182
RARIEDA,60060,19807,44300,4,3573,559,183384,6563,722,318972,Siaya,-0.218940047,34.33792037
RONGO,102999,29324,43995,4,1896,1528,435781,28404,604,644535,Migori,-0.877791282,34.51455638
RUIRU,16458,16745,16904,2,1117,3660,89749,168294,585,313514,Kiambu,-1.167110142,36.99460397
SAMBURU CENTRAL,78123,175415,148368,3544,4281,60,25076,3679,5014,443560,Samburu,1.09166901,36.71442163
SAMBURU EAST,37350,69422,131840,7212,10363,95,7754,906,3413,268355,Samburu,1.081019259,37.47389892
SAMBURU NORTH,69193,142861,270542,22068,12178,32,4919,377,12630,534800,Samburu,1.789437949,36.83086912
SAMIA,17079,4548,16690,0,132,7386,93144,5649,502,145130,Busia,0.249684994,34.08114406
SIAYA,167154,55755,79573,8,1552,9905,616660,34332,11734,976673,Siaya,0.11399015,34.3043068
SOTIK,102484,30100,13387,4,3592,328,168386,7840,3666,329787,Bomet,-0.759704345,35.1490337
SUBA,83238,17364,86412,10,8625,962,215674,9592,893,422770,Homa Bay,-0.582416527,34.20665004
TAITA,111158,26274,103392,1078,2772,688,146614,35170,13438,440584,Taita Taveta,-3.416968032,38.56492447
TANA DELTA,211838,131154,118676,496,4902,12,65897,4872,4469,542316,Tana River,-2.317407934,39.51654731
TANA RIVER,58056,141698,365544,48386,12688,23,43208,6734,11058,687395,Tana River,-0.942366175,39.34922935
TAVETA,42610,19053,63268,208,796,366,65515,3065,3512,198393,Taita Taveta,-3.41452877,37.97519351
TESO NORTH,26693,3308,20267,0,131,4457,158383,12677,888,226804,Busia,0.685653144,34.34692124
TESO SOUTH,34725,5984,19189,0,44,12746,198936,9333,439,281396,Busia,0.545069632,34.22063324
THARAKA,63444,31961,142813,12,5444,980,135417,5692,77383,463146,Tharaka Nithi,-0.136787024,38.01828449
THIKA EAST,21164,8000,26083,0,356,990,53662,49439,12224,171918,Kiambu,-1.029757173,37.23100647
THIKA WEST,17323,14716,17838,0,725,2884,80174,191810,562,326032,Kiambu,-1.099288796,37.04502993
TIGANIA,97740,29995,94750,2529,5325,8053,227334,18812,28225,512763,Meru,0.256927453,37.77333779
TINDERET,34023,9942,14649,0,4205,58,62074,2876,3718,131545,Nandi,-0.013491939,35.3167413
TRANS MARA,459106,184780,150496,43,20466,1097,275347,11468,22335,1125138,Narok,-1.159714592,34.89742997
TRANS NZOIA EAST,57887,49074,6136,12,2474,426,183284,71188,3802,374283,Trans Nzoia,0.942674226,34.89426897
TRANS NZOIA WEST,68170,42618,10811,6,2778,2366,265443,77417,3997,473606,Trans Nzoia,1.022635873,35.18029104
TURKANA CENTRAL,196492,560671,1273445,150700,90067,220,27405,3773,1985,2304758,Turkana,3.05371677,35.44299468
TURKANA NORTH,652288,1274062,1874668,269185,194434,132,23876,3441,307,4292393,Turkana,4.31378822,35.09717514
TURKANA SOUTH,685832,1682418,2846748,412577,273686,218,114068,8230,30289,6054066,Turkana,2.078370044,35.99979492
VIHIGA,59588,3747,14323,1,298,486,199210,15368,598,293619,Vihiga,0.079761357,34.72682968
WAJIR EAST,159846,460690,720936,167764,32192,2,35265,10145,390,1587230,Wajir,2.195672158,40.36685178
WAJIR NORTH,189707,192787,300079,161958,23681,1,41780,3549,327,913869,Wajir,2.931162031,39.5873795
WAJIR SOUTH,331458,389482,464512,97111,29113,0,27298,3650,414,1343038,Wajir,0.974263337,40.34314459
WAJIR WEST,113541,363924,380699,106818,30517,0,35767,4793,141,1036200,Wajir,1.920164855,39.5240015
WARENG,85421,55837,6514,0,2105,6374,168639,44609,6312,375811,Uasin Gishu,0.299690606,35.33850049
WEST POKOT,129475,114050,173693,294,8243,149,143426,8397,32080,609807,West Pokot,1.492414256,35.16354392
WESTLANDS,10153,3465,3666,0,651,1513,14691,30477,607,65223,Nairobi,-1.246976295,36.7882561
YATTA,94779,35321,263080,1,10828,405,237075,15843,23288,680620,Machakos,-1.060809489,37.60220541
