AKGWA_NUMBER,lat83,lon83,County,Construction_Date,Primary_Use,Surface_Elevation,Total_Depth
60000295,38.089343,-82.910051,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,52
40003525,37.831296,-82.855049,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,51
7972,38.381421,-82.842948,Greenup,9/20/1989,DOMESTIC - SINGLE HOUSEHOLD,640,50
30002400,37.986576,-83.013981,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,50
30005942,38.16717,-82.741071,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,50
40004200,37.784079,-82.821989,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,50
40006189,37.745469,-82.792547,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,50
30001000,37.746492,-82.67376,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,48
30002984,38.087676,-82.918871,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,48
30005917,38.026881,-82.585052,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,48
40002767,37.817964,-82.923387,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,48
30002162,37.96068,-82.845671,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,45
30002995,38.186368,-82.748472,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,45
30006139,38.011081,-82.55335,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,45
30006133,37.994281,-82.583053,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,44
40003361,37.746857,-82.789769,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,44
60000471,37.975454,-82.963107,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,43
30005465,38.035177,-82.763867,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,40
80008907,38.538691,-82.702664,Greenup,10/15/1993,MONITORING WELL - AMBIENT MONITORING,550,38
30006155,38.065976,-82.580855,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,38
40003983,37.760746,-82.820601,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,38
80002931,38.421692,-82.831917,Greenup,10/6/1992,MONITORING WELL - AMBIENT MONITORING,680,37.8
30001936,37.774792,-82.728357,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,36
30002155,37.95278,-82.924875,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,36
30003294,37.975982,-82.773571,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,36
40003257,37.774078,-82.790044,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,36
30002965,38.018277,-82.89917,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
30002991,38.13777,-82.85067,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
30003525,37.974384,-82.658059,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
30005703,38.142375,-82.719364,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
30005930,38.073076,-82.664858,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
30005945,38.205968,-82.719571,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
60000288,37.976295,-82.631424,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
60000289,37.976295,-82.634201,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,35
30001019,37.763388,-82.899171,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,34
60000468,37.771859,-82.672813,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,34
30006153,38.059173,-82.925073,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,32
60000683,38.461827,-82.76616,Greenup,,DOMESTIC - SINGLE HOUSEHOLD,,32
30006595,38.101776,-82.663759,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,31
40001639,37.867127,-82.912271,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,31
30002025,37.811092,-82.686654,Johnson,,DOMESTIC - SINGLE HOUSEHOLD,,30
30002396,37.981583,-82.537854,Lawrence,,DOMESTIC - SINGLE HOUSEHOLD,,30
